5740;143;1;18.4;Malinga;Shah;1 run; slower ball, hit powerfully to leg, Dhawan makes a nice sliding save at deep square and gets it back fast
5773;144;1;18.5;Malinga;Gayle;1 wide; misdirects this slower offcutter, too wide of off stump
5816;147;1;18.5;Malinga;Gayle;3 runs; slower ball again, Gayle goes after it, and the top edge flies over short third man, and Zaheer - running back - misjudges it and they get three extra runs
5858;148;1;18.6;Malinga;Shah;1 run; full delivery, hit down the ground for one
5928;152;1;19.1;Khan;Shah;FOUR; nice shot, shuffles across, manufacture a leg-side line, and flicks a low full toss past short fine
5954;152;1;19.2;Khan;Shah;OUT; this time he makes room and gets outside the line, Zak bowls the same delivery and he misses it, and is bowled
5955;152;1;19.3;Khan;Mathews;no run; slower bouncer, beats Mathews comprehensively, and finally Tare keeps well despite the break away from him
6080;154;2;19.4;Khan;Mathews;2 runs; full toss again, and again he can't get it away, hits it just wide of long-on
6113;155;2;19.5;Khan;Mathews;1 run; perfect yorker, can get just a single off it
6114;155;2;19.6;Khan;Gayle;OUT; Has he broken the toe? What a lovely yorker, tailing in late, beats Gayle's bat, gets him on the back toe, Gayle is limping for a leg-bye. Umpire Hazare adds insult to injury, giving him lbw when the ball is sliding down. Hazare won't want this to go close - this one leg-bye could be crucial in the end
